gameID,platform,count_comp,count_total,comp_main,comp_plus,comp_100,comp_low,comp_high
48,Nintendo GameCube,3.0,9.0,2339.0,6758.0,0.0,1678.0,6758.0
48,PlayStation 2,2.0,4.0,4339.0,0.0,0.0,4200.0,4478.0
50,PC,4.0,6.0,72000.0,90000.0,90000.0,36000.0,144000.0
51,Browser,1.0,1.0,0.0,1107.0,0.0,1107.0,1107.0
51,PC,4.0,7.0,634.0,0.0,1511.0,300.0,1511.0
52,Browser,6.0,6.0,486.0,533.0,0.0,360.0,600.0
54,Arcade,9.0,15.0,7192.0,0.0,20250.0,4500.0,26100.0
54,Emulated,2.0,4.0,7112.0,0.0,0.0,5672.0,8552.0
54,Game Boy Color,1.0,2.0,7415.0,0.0,0.0,7415.0,7415.0
54,NES,30.0,57.0,7669.0,9485.0,8924.0,925.0,15120.0
54,Nintendo Switch,1.0,1.0,4080.0,0.0,0.0,4080.0,4080.0
54,PlayStation 2,1.0,4.0,6900.0,0.0,0.0,6900.0,6900.0
55,Emulated,0.0,1.0,0.0,0.0,0.0,0.0,0.0
55,PlayStation 3,3.0,8.0,4462.0,0.0,0.0,1860.0,6000.0
55,Xbox 360,2.0,14.0,2850.0,0.0,0.0,2100.0,3600.0
56,Arcade,10.0,15.0,3289.0,0.0,0.0,1080.0,5400.0
56,Emulated,2.0,4.0,4110.0,0.0,0.0,2700.0,5520.0
56,NES,7.0,38.0,7986.0,5757.0,6229.0,5258.0,9358.0
56,Nintendo Switch,6.0,8.0,3499.0,2400.0,0.0,2400.0,4800.0
56,PC,4.0,7.0,9619.0,0.0,0.0,3014.0,28800.0
56,PlayStation 2,0.0,2.0,0.0,0.0,0.0,0.0,0.0
56,PlayStation 3,0.0,1.0,0.0,0.0,0.0,0.0,0.0
56,PlayStation 4,3.0,4.0,3582.0,0.0,0.0,2400.0,5945.0
56,Xbox One,2.0,2.0,4500.0,0.0,0.0,3600.0,5400.0
56,Xbox Series X/S,1.0,1.0,3600.0,0.0,0.0,3600.0,3600.0
58,NES,2.0,2.0,0.0,607.0,1884.0,607.0,1884.0
59,Arcade,13.0,24.0,2344.0,0.0,15120.0,1500.0,15120.0
59,Emulated,0.0,4.0,0.0,0.0,0.0,0.0,0.0
59,Nintendo Switch,2.0,2.0,1837.0,0.0,0.0,1620.0,2053.0
57,Arcade,8.0,20.0,2640.0,2835.0,0.0,2220.0,3000.0
57,Emulated,1.0,2.0,4260.0,0.0,0.0,4260.0,4260.0
57,Nintendo Switch,2.0,2.0,2704.0,0.0,0.0,2647.0,2760.0
60,PlayStation 3,2.0,24.0,144000.0,0.0,0.0,36000.0,252000.0
60,PlayStation Portable,0.0,6.0,0.0,0.0,0.0,0.0,0.0
60,Wii,4.0,10.0,50400.0,72000.0,126000.0,32400.0,126000.0
60,Xbox 360,3.0,30.0,23400.0,72000.0,0.0,21600.0,72000.0
61,Emulated,1.0,1.0,48360.0,0.0,0.0,48360.0,48360.0
61,PlayStation 2,11.0,38.0,43300.0,41400.0,0.0,29700.0,72000.0
62,Emulated,1.0,2.0,0.0,0.0,38718.0,38718.0,38718.0
62,PC,7.0,31.0,16968.0,13680.0,39600.0,13680.0,39600.0
62,PlayStation 2,7.0,22.0,18221.0,15472.0,0.0,9805.0,29700.0
62,Xbox,4.0,7.0,15664.0,0.0,0.0,9600.0,22860.0
63,PlayStation 3,6.0,22.0,3600.0,0.0,8025.0,3300.0,18000.0
63,Xbox 360,4.0,15.0,5400.0,0.0,7104.0,3600.0,7200.0
65,Emulated,0.0,1.0,0.0,0.0,0.0,0.0,0.0
