,Unnamed: 0,img,title,console,genre,publisher,developer,vg_score,critic_score,user_score,total_shipped,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
142,103,/games/boxart/full_assassins-creed-brotherhood_2AmericaFront.jpg,Assassin's Creed: Brotherhood,PS3,Action,Ubisoft,Ubisoft Montreal,,9.1,,,2.85,1.87,0.11,0.57,0.3,2010-11-16,
143,582,/games/boxart/full_assassins-creed-brotherhood_5PALFront.jpg,Assassin's Creed: Brotherhood,PC,Action,Ubisoft,Ubisoft Montreal,,8.7,,,0.59,0.16,,0.34,0.09,2011-03-22,
144,3466,/games/boxart/full_assassins-creed-brotherhood_189AmericaFront.jpg,Assassin's Creed: Brotherhood,PSN,Action,Ubisoft,Ubisoft Montreal,,8.9,,,,,,,,2011-07-12,
145,78,/games/boxart/full_6469736AmericaFrontccc.jpg,LEGO Star Wars: The Video Game,PS2,Action,Eidos Interactive,Traveller's Tales,,7.9,,,3.53,1.98,0.01,1.14,0.41,2005-04-02,
146,242,/games/boxart/full_1021105AmericaFrontccc.jpg,LEGO Star Wars: The Video Game,GC,Action,Eidos Interactive,Traveller's Tales,,7.9,,,1.41,1.09,,0.28,0.04,2005-10-25,
147,305,/games/boxart/full_244890AmericaFrontccc.jpg,LEGO Star Wars: The Video Game,XB,Action,Eidos Interactive,Traveller's Tales,,8.0,,,1.16,0.83,,0.28,0.05,2005-04-05,
148,319,/games/boxart/full_8705226AmericaFrontccc.jpg,LEGO Star Wars: The Video Game,GBA,Action,Eidos Interactive,Amaze Entertainment,,7.4,,,1.14,0.82,,0.3,0.02,2005-03-29,
149,2907,/games/boxart/7765807ccc.jpg,LEGO Star Wars: The Video Game,PC,Action,Eidos Interactive,Traveller's Tales,,7.8,,,0.02,,,0.01,0.0,2005-04-02,
150,80,/games/boxart/810014ccc.jpg,Rugrats in Paris: The Movie,PS,Action,THQ,Avalanche Software,,,,,3.52,1.96,,1.33,0.23,2000-10-29,
151,692,/games/boxart/9989755ccc.jpg,Rugrats in Paris: The Movie,N64,Action,THQ,Avalanche Software,,,,,0.5,0.4,,0.09,0.01,2000-11-12,
