,Developer,Notable games,selected_titles,selected_titles_series
316,love-de-lic,Moon: Remix RPG Adventure,['Moon: Remix RPG Adventure'],['Moon: Remix RPG Adventure']
317,lucasarts,Maniac MansionSam & Max Hit the RoadDay of the TentacleMonkey Island seriesThe DigFull ThrottleGrim FandangoStar Wars: The Force Unleashed seriesStar Wars: Battlefront series,"['Day of the Tentacle', 'Grim Fandango', 'Sam & Max Hit the Road', 'Star Wars: The Force Unleashed', 'The Dig']","['Star Wars: The Force Unleashed - Hoth DLC', 'Day of the Tentacle', 'Star Wars: Masters of Teras Kasi', 'Star Wars: The Clone Wars - Jedi Alliance', 'Star Wars: Starfighter', 'Star Wars Jedi Knight: Dark Forces II', 'Star Wars: The Force Unleashed - Tatooine DLC', 'Star Wars: Yoda Stories', 'Indiana Jones and the Fate of Atlantis', 'Star Wars: The Force Unleashed - Ultimate Sith Edition', 'Indiana Jones and the Infernal Machine', 'Sam & Max Hit the Road', 'Star Wars: Rebel Assault I & II', 'Grim Fandango', 'Star Wars: The Force Unleashed - Jedi Temple DLC', 'Star Wars: Rebel Assault II: The Hidden Empire', 'Star Wars Episode I: Racer', 'Indiana Jones and His Desktop Adventures', 'Full Throttle (1995)', 'Star Wars Episode II: Attack of the Clones', 'Star Wars: Assault Team', 'Star Wars: Jedi Power Battles', 'Star Wars: Obi-Wan', 'Star Wars Episode I: Jedi Power Battles', 'Star Wars: Republic Commando', 'Outlaws + A Handful of Missions', ""Monkey Island 2: LeChuck's Revenge"", 'Star Wars: Jedi Starfighter', 'Star Wars: The Force Unleashed II', 'The Dig', 'Star Wars: The Force Unleashed II - Endor DLC', 'Instruments of Chaos Starring Young Indiana Jones', 'Star Wars: The Force Unleashed', 'Star Wars: Bounty Hunter', 'The Curse of Monkey Island', 'Star Wars Jedi Knight: Mysteries of the Sith', 'Escape from Monkey Island', 'Star Wars (1991)', 'Star Wars: Rebel Assault', 'Star Wars: Dark Forces']"
319,luxoflux,True Crime series,[],"['True Crime: Streets of LA', 'True Crime: New York City']"
320,machinegames,Wolfenstein series,[],[]
321,magenta software,Buzz! Junior series,[],[]
322,marvelous,Senran Kagura seriesSoul Sacrifice series Story of Seasons franchise  Rune Factory series Fate/Extella seriesKandagawa Jet GirlsDaemon X MachinaSuper Monkey Ball: Banana Splitz,['Story of Seasons'],"['The King of Fighters EX2: Howling Blood', 'Story of Seasons', 'Return to PopoloCrois: A Story of Seasons Fairytale', 'Senran Kagura: Shinovi Versus - Rin DLC', 'Lord of Magna: Maiden Heaven', 'Story of Seasons: Trio of Towns', 'Senran Kagura: Shinovi Versus - Daidouji DLC', 'Senran Kagura: Estival Versus - Dual Blooming Hearts DLC', 'Senran Kagura: Estival Versus - Mission Set DLC', 'Rune Factory 4 Special', 'Senran Kagura: Estival Versus']"
323,massive entertainment,Ground ControlWorld In ConflictTom Clancy's The Division series,['Ground Control'],"['Ground Control II: Operation Exodus', 'Ground Control Anthology', ""Tom Clancy's The Division 2"", 'World in Conflict: Soviet Assault', 'Ground Control', 'World in Conflict']"
324,masthead studios,Earthrise,[],[]
325,matrix software,Omega Labyrinth seriesBrigandine: The Legend of Runersia,['Omega Labyrinth'],"['Lost in Blue 3', 'Omega Labyrinth']"
326,maxis,The Sims seriesSimCity series,[],"[""The Sims: Makin' Magic"", 'The Sims 2: Open for Business', 'SimCity 3000', ""The Sims Bustin' Out"", ""The Sims: Livin' Large"", 'The Sims 2: Seasons', 'The Sims Complete Collection', 'The Sims 2: Nightlife', 'The Sims: Hot Date', 'The Sims 2 Ultimate Collection', 'SimCity 4: Rush Hour', 'SimCity (2013)', 'The Sims (2000)', 'The Sims 2', 'SimCity 4', 'The Sims: House Party', 'The Sims (2003)', 'The Sims 2: University', 'The Sims: Vacation', 'SimCity 3000 Unlimited', 'The Sims: Superstar', 'The Sims: Unleashed']"
327,media molecule,LittleBigPlanet seriesTereaway,['LittleBigPlanet'],"['LittleBigPlanet', 'LittleBigPlanet 2']"
328,media.vision,Wild Arms seriesChaos Rings seriesDigimon Story: Cyber SleuthSummon Night 6,"['Chaos Rings', 'Wild Arms', 'Digimon Story: Cyber Sleuth']","['Chaos Rings II', 'Digimon Story: Cyber Sleuth', 'Wild Arms 5', 'Wild Arms 2', 'Summon Night 6: Lost Borders', 'Wild Arms 4', 'Wild Arms 3', 'Wild Arms', ""Digimon Story: Cyber Sleuth - Hacker's Memory"", 'Chaos Rings Omega', 'Chaos Rings', 'Wild Arms XF', 'Chaos Rings III', 'Wild Arms Alter Code: F']"
329,mediatonic,Robot Unicorn AttackFable Fortune,[],[]
330,metropolis software,TeenagentGorky 17Infernal,['Infernal'],['Infernal']
331,microprose software,Silent ServiceGunshipPirates!Railroad TycoonCivilization series,[],"['Silent Service II', 'Transport Tycoon Deluxe']"
332,microsoft,SolitaireMahjongMinesweeperWordament,[],[]
333,midway games,Mortal Kombat series,[],['Mortal Kombat: Tournament Edition']
334,milestone,Chaos Field series,[],[]
335,milestone,Chaos Field series,[],[]
336,mistwalker,Blue Dragon,[],[]
337,mitchell corporation,PolariumPuzz Loop series,['Polarium'],"['Polarium Advance', 'Polarium']"
338,mode 7 games,Frozen Synapse seriesTokyo 42,['Frozen Synapse'],['Frozen Synapse']
