,Developer,Notable games,selected_titles,selected_titles_series
571,treyarch,Call of Duty seriesSpider-Man (2002),[],"['Call of Duty: Black Ops 4', 'Call of Duty: Black Ops', 'Call of Duty: Black Ops II - Uprising DLC', 'Draconus: Cult of the Wyrm', 'Call of Duty: Black Ops III - Awakening DLC Pack', 'Call of Duty: Black Ops II - Vengeance DLC', 'Call of Duty: Black Ops II - Apocalypse DLC', 'Call of Duty: Black Ops III', 'Call of Duty: Black Ops III - Eclipse DLC Pack', 'Call of Duty 3', 'Call of Duty: World at War', 'Call of Duty: Black Ops II', 'Call of Duty: Modern Warfare - Reflex Edition', 'Call of Duty: Black Ops II - Revolution DLC']"
572,treasure,Gunstar HeroesDynamite HeaddyGuardian HeroesAlien SoldierBangai-OIkarugaSin and PunishmentSin & Punishment: Star SuccessorGaist Crusher,[],[]
573,treasure,Gunstar HeroesDynamite HeaddyGuardian HeroesAlien SoldierBangai-OIkarugaSin and PunishmentSin & Punishment: Star SuccessorGaist Crusher,"['Alien Soldier', 'Bangai-O', 'Dynamite Headdy', 'Guardian Heroes', 'Sin & Punishment: Star Successor']","['Sin & Punishment: Star Successor', 'Bangai-O', 'Dynamite Headdy', 'Guardian Heroes', 'Alien Soldier']"
574,tri-ace,Star Ocean franchiseValkyrie Profile series,[],[]
575,tri-ace,Star Ocean franchiseValkyrie Profile series,[],"['Star Ocean: Integrity and Faithlessness', 'Star Ocean (1996)', 'Valkyrie Profile: Covenant of the Plume', 'Resonance of Fate', 'Phantasy Star Nova', 'Star Ocean: The Second Story', 'Star Ocean: The Last Hope']"
576,tri-crescendo,Digimon World Re:Digitize series,['Digimon World Re:Digitize'],['Digimon World Re:Digitize']
577,trion worlds,Rift,['Rift'],['Rift']
578,tripwire interactive,Killing Floor seriesRed Orchestra: Ostfront 41-45,"['Killing Floor', 'Red Orchestra: Ostfront 41-45']","['Killing Floor', 'Red Orchestra 2: Heroes of Stalingrad', 'Killing Floor: Incursion', 'Red Orchestra: Ostfront 41-45', 'Killing Floor 2']"
579,triumph studios,Age of Wonders seriesOverlord series,[],"[""Age of Wonders II: The Wizard's Throne"", 'Age of Wonders III: Eternal Lords Expansion', 'Age of Wonders: Planetfall', 'Age of Wonders III', 'Age of Wonders: Shadow Magic', 'Overlord II']"
580,turn 10 studios,Forza Motorsport series,['Forza Motorsport'],"['Forza Motorsport 5', 'Forza Motorsport 4', 'Forza Motorsport 6: Apex', 'Forza Motorsport 7', 'Forza Motorsport', 'Forza Motorsport 3', 'Forza Horizon 3: Hot Wheels', 'Forza Motorsport 2', 'Forza Motorsport 6']"
581,turtle rock studios,Left 4 Dead seriesEvolve,['Evolve'],['Evolve']
582,two point studios,Two Point Hospital,['Two Point Hospital'],['Two Point Hospital']
583,two tribes,Toki Tori,[],[]
584,ubisoft,Rayman seriesAssassin's Creed seriesJust Dance seriesPrince of Persia seriesFar Cry seriesZombiUTom Clancy's Ghost Recon seriesTom Clancy's Rainbow Six seriesTom Clancy's Splinter Cell seriesBeyond Good & Evil series,[],"[""Tom Clancy's Splinter Cell 3D""]"
585,ubisoft,Rayman seriesAssassin's Creed seriesJust Dance seriesPrince of Persia seriesFar Cry seriesZombiUTom Clancy's Ghost Recon seriesTom Clancy's Rainbow Six seriesTom Clancy's Splinter Cell seriesBeyond Good & Evil series,"['Beyond Good & Evil', ""Tom Clancy's Splinter Cell""]","['Prince of Persia: The Forgotten Sands', ""Assassin's Creed: Brotherhood - The Da Vinci Disappearance DLC"", 'Just Dance 4', 'Just Dance 2017', ""Assassin's Creed III: The Tyranny of King Washington DLC"", ""Assassin's Creed: The Ezio Collection"", 'Far Cry 3: Monkey Business DLC', ""Assassin's Creed II: Multiplayer"", 'Prince of Persia: Rival Swords', ""Assassin's Creed: Revelations - The Lost Archive DLC"", ""Assassin's Creed III: Benedict Arnold DLC"", ""Assassin's Creed: Multiplayer Rearmed"", 'POD: Planet of Death', 'Rayman Raving Rabbids', 'Star Wars Trilogy: Apprentice of the Force', ""Tom Clancy's EndWar Online"", ""Disney's PK: Out of the Shadows"", 'Gravity Falls: Legend of the Gnome Gemulets', 'Rayman 2: Revolution', 'Just Dance 2014', ""Assassin's Creed III"", 'Rayman 2: The Great Escape', 'Beyond Good & Evil', 'Rayman M', ""Assassin's Creed Chronicles: China"", ""Tom Clancy's Splinter Cell"", ""Assassin's Creed: Memories"", 'Just Dance 2019', 'Rayman 3 HD', 'Far Cry 3: The Lost Expeditions DLC', 'Just Dance 2016', 'Rayman Forever', ""Tom Clancy's Splinter Cell Trilogy"", ""Assassin's Creed: Recollection"", ""Assassin's Creed: Brotherhood - Copernicus Conspiracy DLC"", 'Just Dance 2015', 'Just Dance 3']"
586,ubisoft blue byte,Battle Isle seriesThe Settlers seriesAnno series,[],[]
587,ubisoft reflections,Driver seriesDestruction Derby series,[],[]
588,uep systems,Cool Boarders series,['Cool Boarders'],"['Cool Boarders', 'Cool Boarders 2']"
589,ultimate play the game,JetpacLunar JetmanAtic AtacSabreman seriesAlien 8,[],[]
590,ultimate play the game,JetpacLunar JetmanAtic AtacSabreman seriesAlien 8,[],['Sabre Wulf (1984)']
591,undead labs,State of Decay series,['State of Decay'],"['State of Decay: Year-One', 'State of Decay 2', 'State of Decay 2 - Daybreak DLC', 'State of Decay', 'State of Decay: Breakdown', 'State of Decay: Lifeline']"
592,united front games,ModNation RacersSleeping DogsLittleBigPlanet Karting,['ModNation Racers'],['ModNation Racers']
593,united game artists,Space Channel 5 seriesRez,"['Rez', 'Space Channel 5']","['Space Channel 5: Part 2', 'Rez', 'Space Channel 5: Special Edition', 'Space Channel 5']"
595,valve,Half-Life seriesPortal seriesLeft 4 Dead seriesTeam Fortress 2Dota 2Counter-Strike series,[],['Left 4 Dead 2: The Passing DLC']
596,vanillaware,Odin SphereGrimGrimoireMuramasa: The Demon BladeDragon's Crown13 Sentinels: Aegis Rim,"['GrimGrimoire', 'Muramasa: The Demon Blade', 'Odin Sphere']","['Muramasa: The Demon Blade', 'Odin Sphere', 'GrimGrimoire']"
597,vanpool,Tingle seriesSuper Kirby Clash,[],[]
598,venan entertainment,Ninjatown,['Ninjatown'],['Ninjatown']
599,vicarious visions,Guitar Hero seriesTony Hawk seriesCrash Bandicoot N. Sane TrilogyMarvel: Ultimate Alliance 2,['Crash Bandicoot N. Sane Trilogy'],"[""Tony Hawk's American Sk8land"", 'The Powerpuff Girls: HIM and Seek', ""Crash Bandicoot Purple: Ripto's Rampage"", 'Crash Nitro Kart', 'Crash Bandicoot N. Sane Trilogy', 'Crash Bandicoot 2: N-Tranced', 'Crash Bandicoot: The Huge Adventure', 'Guitar Hero: On Tour']"
600,vigil games,Darksiders series,[],"['Darksiders II: Abyssal Forge DLC', ""Darksiders II: Argul's Tomb DLC"", 'Darksiders II', 'Darksiders II: The Demon Lord Belial DLC']"
601,virtuos,Monster Jam: Path of DestructionGhost Recon Predator,['Monster Jam: Path of Destruction'],['Monster Jam: Path of Destruction']
602,visceral games,Dead Space series,['Dead Space'],"['Dead Space 3', 'Dead Space 3: Awakened DLC', 'Dead Space', 'Dead Space 2', 'Dead Space 2: Severed DLC']"
603,visual concepts,NFL 2KNBA 2K seriesMLB 2K series,"['NBA 2K', 'NFL 2K']","['NBA 2K17', 'NBA 2K13', 'NBA 2K6', 'NBA 2K19', 'ESPN NBA 2K5', 'MLB 2K13', 'NFL 2K2', 'NBA 2K11', 'NBA 2K9', 'NBA 2K19: The Prelude', 'NBA 2K18', 'ESPN NFL Football', 'NBA 2K2', 'NBA 2K', 'NBA 2K8', 'NFL 2K3', 'NBA 2K7', 'NBA 2K15', 'NFL 2K1', 'NBA 2K14', 'ESPN NBA Basketball', 'NFL 2K', 'NBA 2K16', 'NBA 2K1', 'MLB 2K6', 'ESPN NFL 2K5', 'NBA 2K3', 'NBA 2K10']"
604,vostok games,Survarium,['Survarium'],['Survarium']
605,voxelstorm,AdvertCity,['AdvertCity'],['AdvertCity']
607,warhorse studios,Kingdom Come: Deliverance,['Kingdom Come: Deliverance'],['Kingdom Come: Deliverance']
608,webfoot technologies,Dragon Ball Z: The Legacy of GokuYou Don't Know Jack!  series[which?]Deadly Rooms of Death,['Dragon Ball Z: The Legacy of Goku'],"['The Biggest Loser', 'Dragon Ball Z: The Legacy of Goku II', ""Dragon Ball Z: Buu's Fury"", 'Dragon Ball GT: Transformation', 'Dragon Ball Z: The Legacy of Goku', 'The Legend of Korra: A New Era Begins']"
609,wemade,The Legend of Mir series,[],['Riders of Icarus']
610,westone bit entertainment,Wonder Boy seriesMonster World series,[],[]
611,westwood studios,Eye of the BeholderDune IIThe Legend of Kyrandia seriesLands of Lore seriesCommand & Conquer series,[],"['Dune II: The Building of a Dynasty', ""BattleTech: The Crescent Hawk's Inception"", 'The Legend of Kyrandia Book Two: The Hand of Fate', 'Lands of Lore: Guardians of Destiny', ""The Legend of Kyrandia Book Three: Malcolm's Revenge"", 'Command & Conquer: Renegade', 'Command & Conquer: Tiberian Sun', 'Command & Conquer: Red Alert - Retaliation', 'Command & Conquer: Red Alert', 'Lands of Lore: The Throne of Chaos', 'Pirates: The Legend of Black Kat', 'Mines of Titan', 'Command & Conquer: The Covert Operations', 'Lands of Lore III', 'The Legend of Kyrandia Book One']"
612,wideload games,Stubbs the Zombie in Rebel Without a Pulse,[],[]
615,world forge,Ancient Wars: Sparta,['Ancient Wars: Sparta'],['Ancient Wars: Sparta']
616,xpec entertainment,Bounty Hounds,['Bounty Hounds'],['Bounty Hounds']
617,yager development,Spec Ops: The Line,['Spec Ops: The Line'],['Spec Ops: The Line']
618,yuke's,WWE SmackDown! vs Raw,[],[]
619,yuke's,WWE SmackDown! vs Raw,[],[]
620,zenimax online studios,The Elder Scrolls Online,['The Elder Scrolls Online'],['The Elder Scrolls Online']
621,zen studios,Pinball FX series,['Pinball FX'],"['Pinball FX 2', 'Marvel Pinball', 'Zen Pinball', 'ZEN Pinball 3D', 'Pinball FX', 'Zen Pinball 2', 'Pinball FX2 VR', 'Pinball FX3']"
622,zipper interactive,SOCOM U.S. Navy SEALs seriesMechWarrior 3,['MechWarrior 3'],"['SOCOM: U.S. Navy SEALs Combined Assault', 'SOCOM: U.S. Navy SEALs Fireteam Bravo 2', 'SOCOM: U.S. Navy SEALs', 'MechWarrior 3', 'SOCOM 3: U.S. Navy SEALs', ""MechWarrior 3: Pirate's Moon"", 'SOCOM: U.S. Navy SEALs Fireteam Bravo', 'SOCOM 4: U.S. Navy SEALs / Special Forces']"
623,zombie studios,Spec Ops: Rangers Lead the WayBlacklight: Retribution,['Blacklight: Retribution'],['Blacklight: Retribution']
624,zootfly,Marlow Briggs and the Mask of Death,[],[]
625,zootfly,Marlow Briggs and the Mask of Death,[],[]
626,zynga,FarmVilleZynga Poker,['FarmVille'],['FarmVille']
